#Citation: 'W. B. Gratzer, Med. Res. Council Labs, Holly Hill,London',...
#'N. Kollias, Wellman Laboratories, Harvard Medical School, Boston'

#These values for the molar extinction coefficient e in [cm-1/(moles/liter)] were compiled by Scott Prahl (prahl@ece.ogi.edu) using data from
#
#W. B. Gratzer, Med. Res. Council Labs, Holly Hill, London
#N. Kollias, Wellman Laboratories, Harvard Medical School, Boston
#To convert this data to absorbance A, multiply by the molar concentration and the pathlength. For example, if x is the number of grams per liter and a 1 cm cuvette is being used, then the absorbance is given by
#
#        (e) [(1/cm)/(moles/liter)] (x) [g/liter] (1) [cm]
#  A =  ---------------------------------------------------
#  66,500 [g/mole]
#
#using 66,500 as the gram molecular weight of hemoglobin.
#To convert this data to absorption coefficient in (cm-1), multiply by the molar concentration and 2.303,
#
#µa = (2.303) e (x g/liter)/(66,500 g Hb/mole)
#where x is the number of grams per liter. A typical value of x for whole blood is x=150 g Hb/liter.

#Lambda HbO Hb
250	106112	112736
252	105552	112736
254	107660	112736
256	109788	113824
258	112944	115040
260	116376	116296
262	120188	117564
264	124412	118876
266	128696	120208
268	133064	121544
270	136068	122880
272	137232	123096
274	138408	121952
276	137424	120808
278	135820	119840
280	131936	118872
282	127720	117628
284	122280	114820
286	116508	112008
288	108484	107140
290	104752	98364
292	98936	91636
294	88136	85820
296	79316	77100
298	70884	69444
300	65972	64440
302	63208	61300
304	61952	58828
306	62352	56908
308	62856	57620
310	63352	59156
312	65972	62248
314	69016	65344
316	72404	68312
318	75536	71208
320	78752	74508
322	82256	78284
324	85972	82060
326	89796	85592
328	93768	88516
330	97512	90856
332	100964	93192
334	103504	95532
336	104968	99792
338	106452	104476
340	107884	108472
342	109060	110996
344	110092	113524
346	109032	116052
348	107984	118752
350	106576	122092
352	105040	125436
354	103696	128776
356	101568	132120
358	97828	133632
360	94744	134940
362	92248	136044
364	89836	136972
366	88484	137900
368	87512	138856
370	88176	139968
372	91592	141084
374	95140	142196
376	98936	143312
378	103432	144424
380	109564	145232
382	116968	145232
384	125420	148668
386	135132	153908
388	148100	159544
390	167748	167780
392	189740	180004
394	212060	191540
396	231612	202124
398	248404	212712
400	266232	223296
402	284224	236188
404	308716	253368
406	354208	270548
408	422320	287356
410	466840	303956
412	500200	321344
414	524280	342596
416	521880	363848
418	515520	385680
420	480360	407560
422	431880	429880
424	376236	461200
426	326032	481840
428	283112	500840
430	246072	528600
432	214120	552160
434	165332	552160
436	132820	547040
438	119140	501560
440	102580	413280
442	92780	363240
444	81444	282724
446	76324	237224
448	67044	173320
450	62816	103292
452	58864	62640
454	53552	36170
456	49496	30698.8
458	47496	25886.4
460	44480	23388.8
462	41320	20891.2
464	39807.2	19260.8
466	37073.2	18142.4
468	34870.8	17025.6
470	33209.2	16156.4
472	31620	15310
474	30113.6	15048.4
476	28850.8	14792.8
478	27718	14657.2
480	26629.2	14550
482	25701.6	14881.2
484	25180.4	15212.4
486	24669.6	15543.6
488	24174.8	15898
490	23684.4	16684
492	23086.8	17469.6
494	22457.6	18255.6
496	21850.4	19041.2
498	21260	19891.2
500	20932.8	20862
502	20596.4	21832.8
504	20418	22803.6
506	19946	23774.4
508	19996	24745.2
510	20035.2	25773.6
512	20150.4	26936.8
514	20429.2	28100
516	21001.6	29263.2
518	22509.6	30426.4
520	24202.4	31589.6
